subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.value
82937284,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_088.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_089.jpg,17771,T0,Begin Date – Month,[{'August': 3}]
82937284,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_088.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_089.jpg,17771,T1,Begin Date – Day,[{'6': 3}]
82937284,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_088.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_089.jpg,17771,T2,Begin Date – Year,[{'1986': 3}]
82937284,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_088.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_089.jpg,17771,T5,End Date – Year,
82937284,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_088.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_089.jpg,17771,T3,End Date – Month,
82937284,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_088.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/mixed_double/Iron_Ottawa_GROW_089.jpg,17771,T4,End Date – Day,
82937314,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Cheboygan_Cochran_GROW_085.jpg,,17771,T0,Begin Date – Month,[{'June': 3}]
82937314,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Cheboygan_Cochran_GROW_085.jpg,,17771,T1,Begin Date – Day,[{'27': 3}]
82937314,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Cheboygan_Cochran_GROW_085.jpg,,17771,T2,Begin Date – Year,[{'1969': 3}]
82937314,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Cheboygan_Cochran_GROW_085.jpg,,17771,T5,End Date – Year,
82937314,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Cheboygan_Cochran_GROW_085.jpg,,17771,T3,End Date – Month,
82937314,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Cheboygan_Cochran_GROW_085.jpg,,17771,T4,End Date – Day,
82937315,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Manistee_Bear_GROW_098.jpg,,17771,T0,Begin Date – Month,[{'June': 3}]
82937315,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Manistee_Bear_GROW_098.jpg,,17771,T1,Begin Date – Day,[{'7': 3}]
82937315,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Manistee_Bear_GROW_098.jpg,,17771,T2,Begin Date – Year,[{'1976': 3}]
82937315,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Manistee_Bear_GROW_098.jpg,,17771,T5,End Date – Year,[{'1976': 3}]
82937315,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Manistee_Bear_GROW_098.jpg,,17771,T3,End Date – Month,[{'June': 3}]
82937315,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Manistee_Bear_GROW_098.jpg,,17771,T4,End Date – Day,[{'11': 3}]
82937316,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Manistee_Bear_GROW_126.jpg,,17771,T0,Begin Date – Month,
82937316,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/single/Manistee_Bear_GROW_126.jpg,,17771,T1,Begin Date – Day,
