_ - board_id,_ - comment_id,_ - board_title,_ - comment_body,_ - discussion_id,_ - comment_user_id,_ - discussion_title,subject_id,_ - board_description,_ - comment_focus_type,_ - comment_user_login,_ - comment_created_at
4014,2834869,Team + Zooniverse Private Board,"Hello @jmschell 

I’ve set up this private Talk board to host our conversations -- it will serve as an easy-to-access record of your project’s status as it moves from beta to full launch that both your team and the Zooniverse team can see and contribute to.

Please see the feedback form available here: [Google Doc](https://docs.google.com/document/d/12mEafslWTkKaKsALvkiT2clXj0-G7p9gw_tGPC45U54/edit?usp=sharing). Feel free to respond to the feedback and questions directly in the doc or in this discussion thread, and be sure to mention me (@blicksam) in your Talk post to send me a notification of your message. And please be sure to post here when you're done responding to feedback and ready for the next step. You can also get in touch by emailing contact@zooniverse.org, but I would prefer using Talk rather than email if possible.

Once you've addressed this initial feedback, we'll get you scheduled for a beta test with our volunteers. Please let me know if you have any questions!
",1742464,1550104,Internal Project Review,,For communication between the Zooniverse and research team members,,blicksam,2020-12-11T22:11:15.816Z
4014,2834973,Team + Zooniverse Private Board,Thank you @blicksam! We'll look over this next week and get back to you when we've made the changes. ,1742464,1484814,Internal Project Review,,For communication between the Zooniverse and research team members,,jmschell,2020-12-11T23:08:46.906Z
4014,2842475,Team + Zooniverse Private Board,"Hi @blicksam! We just went over all the feedback from Brooke and have responded in the far-right column. We'll get to work on some of the smaller things soon, but I wanted to check on something with you. 

The tutorial is truly fixed width, correct? As I wrote in the response column, given the size/shape of our cards, it's hard to do much with them in the tutorial, especially since the information is sometimes spread out over different parts of the card (and sometimes front/back). I'm pretty sure the answer is ""yes, it is indeed fixed,"" which means we'll be putting more image examples and such into the Help Text field (and pointing that out in the Tutorial and Task instructions). 

Also, we're eventually going to have additional workflows for different kinds of cards (there are ~20 kinds of cards in the overall collection), but these are the types of cards/information that were the highest priority according to the researchers. If you'd rather us not launch all these workflows at once, or have text saying so, we can definitely do that. 

Thanks!

Justin",1742464,1484814,Internal Project Review,,For communication between the Zooniverse and research team members,,jmschell,2020-12-15T19:24:40.413Z
4014,2899190,Team + Zooniverse Private Board,"Hi @blicksam just checking in on this.  Thanks!

Justin",1742464,1484814,Internal Project Review,,For communication between the Zooniverse and research team members,,jmschell,2021-01-12T16:16:13.322Z
4014,2906215,Team + Zooniverse Private Board,"Hey @jmschell 

Thanks for your patience as we work through our pre-holiday project review backlog. 

To answer your question, yes unfortunately the tutorial is fixed width. But I've passed your feedback along to Becky so it's on her mind for future design updates.

The question of 5 active workflows isn't about whether you should have that many for the full project launch -- you can launch with as many workflows as you like! -- but instead trying to figure out what's the optimal number for the beta test. As you well know, beta tests are about finding the right amount of subjects so that you have enough data to have the beta be active for a full week, but not so much that things don't retire. Since it sounds like all 5 are necessary according to the research team, you might want to consider adding a question to the beta feedback form asking which workflows the beta reviewer tested, to keep the feedback clear. You won't necessarily know whether someone tried 1, or a few, or all of them, so as we're setting up the beta we can add a tickbox question for reviewers to indicate which workflows they tried. 

There are a few places in the doc where you mention things are forthcoming (mostly around adding images/examples) -- are you planning to make these changes before the beta, or would you prefer to move ahead with the beta and implement these changes along with the beta feedback? Once that's clear we can get something on the calendar and move forward with the review process.

Cheers,
Sam",1742464,1550104,Internal Project Review,,For communication between the Zooniverse and research team members,,blicksam,2021-01-15T17:27:03.794Z
4014,2911296,Team + Zooniverse Private Board,"Thanks @blicksam! 

Totally fine that the tutorial is fixed-width, we'll just need to adapt some of the things we have in the tutorial into help text. Could I get your guidance/opinion on the tutorials? I couldn't tell if Brooke was suggesting something that couldn't be done in the tutorial with the images since it's fixed width. I've already made some changes to them to reduce the text, but can you let me know if more should be done? Or if we should put it in beta and see what the volunteer testers think? 

I think that's a good idea to add that option on the Google Form. It brings up a larger question, which is that more workflows will be added as we process more kinds of cards. There's about 20 different kinds of cards, total, but I think that most of the workflows for them will be similar in character to the ones we have now. So, multiple choice,  text transcription, combo tasks, and maybe a dropdown task here and there, but we might only need that for dates, which should all be taken care of by the Basic Information Workflow. So, we could maybe start with three: Basic Information Workflow, Summary Card - Fish Choices, and Fish Growth Analysis - Bluegill, and the other workflows (ones that are ready now and ones that will be ready in the next few months) will have similar tasks. 

The images/text that were marked as forthcoming have been taken care of. 

If it's easier to talk through this via a call, happy to do that!

Thanks as always,

Justin",1742464,1484814,Internal Project Review,,For communication between the Zooniverse and research team members,,jmschell,2021-01-17T18:06:16.904Z
4014,2911438,Team + Zooniverse Private Board,"After going through the Summary Card - Text Fields workflow again (and looking at a sample of the different card types) we're going to need the date information in order to know which ones to put in that workflow. Not all of those fields are listed on all of the cards until after a certain date. So, we can take out the ""Summary Card - Text Fields"" workflow from the beta, because I think it's going to require too much explanation of why certain fields may not be there.  I hope that's clear! 

Justin",1742464,1484814,Internal Project Review,,For communication between the Zooniverse and research team members,,jmschell,2021-01-17T19:06:18.683Z
4014,2958958,Team + Zooniverse Private Board,"@jmschell Just checking in on the beta status -- are you ready for the project to go to beta? Let me know if so, and we'll get you on the calendar for next week.",1742464,1550104,Internal Project Review,,For communication between the Zooniverse and research team members,,blicksam,2021-02-02T16:21:43.122Z
4014,2993128,Team + Zooniverse Private Board,"@blicksam Oh crap, I missed this message! I think it got lost in all the Tar Pits messages. If you think we're ready to go and you don't see any issues from the document or the questions earlier in the thread, then we're good to go to beta. 

Justin",1742464,1484814,Internal Project Review,,For communication between the Zooniverse and research team members,,jmschell,2021-02-12T01:07:27.108Z
4014,2996560,Team + Zooniverse Private Board,"@jmschell No worries -- I'm pretty sure I did the same thing at least once or twice... problems of abundance are nice to have, eh?

Anyway, great to see you're ready to go. Still looks good from my end, and all GDoc comments seem to be resolved. I've got you on the calendar to go to beta this Tuesday the 16th! @mrniaboc will post here with a link to your feedback form once the newsletter has been sent.

Have a nice weekend!
Sam",1742464,1550104,Internal Project Review,,For communication between the Zooniverse and research team members,,blicksam,2021-02-12T21:55:19.471Z
