subject_id,workflow_id,task,reducer,data.aggregation_version,data.value
58642605,18896,T1,dropdown_reducer,3.4.5,
58642605,18896,T7,dropdown_reducer,3.4.5,
58642605,18896,T13,dropdown_reducer,3.4.5,
58642605,18896,T19,dropdown_reducer,3.4.5,
58642605,18896,T25,dropdown_reducer,3.4.5,
58642605,18896,T31,dropdown_reducer,3.4.5,
58642605,18896,T37,dropdown_reducer,3.4.5,
58642605,18896,T43,dropdown_reducer,3.4.5,
58642605,18896,T49,dropdown_reducer,3.4.5,
58642605,18896,T55,dropdown_reducer,3.4.5,
58642605,18896,T61,dropdown_reducer,3.4.5,
58642605,18896,T67,dropdown_reducer,3.4.5,
58642605,18896,T73,dropdown_reducer,3.4.5,
58642605,18896,T79,dropdown_reducer,3.4.5,
58642606,18896,T1,dropdown_reducer,3.4.5,
58642606,18896,T7,dropdown_reducer,3.4.5,
58642606,18896,T13,dropdown_reducer,3.4.5,
58642606,18896,T19,dropdown_reducer,3.4.5,
58642606,18896,T25,dropdown_reducer,3.4.5,
58642606,18896,T31,dropdown_reducer,3.4.5,
58642606,18896,T37,dropdown_reducer,3.4.5,
58642606,18896,T43,dropdown_reducer,3.4.5,
58642606,18896,T49,dropdown_reducer,3.4.5,
58642606,18896,T55,dropdown_reducer,3.4.5,
58642606,18896,T61,dropdown_reducer,3.4.5,
58642606,18896,T67,dropdown_reducer,3.4.5,
58642606,18896,T73,dropdown_reducer,3.4.5,
58642606,18896,T79,dropdown_reducer,3.4.5,
58642607,18896,T1,dropdown_reducer,3.4.5,
58642607,18896,T7,dropdown_reducer,3.4.5,
58642607,18896,T13,dropdown_reducer,3.4.5,
58642607,18896,T19,dropdown_reducer,3.4.5,
58642607,18896,T25,dropdown_reducer,3.4.5,
58642607,18896,T31,dropdown_reducer,3.4.5,
58642607,18896,T37,dropdown_reducer,3.4.5,
58642607,18896,T43,dropdown_reducer,3.4.5,
58642607,18896,T49,dropdown_reducer,3.4.5,
58642607,18896,T55,dropdown_reducer,3.4.5,
58642607,18896,T61,dropdown_reducer,3.4.5,
58642607,18896,T67,dropdown_reducer,3.4.5,
58642607,18896,T73,dropdown_reducer,3.4.5,
58642607,18896,T79,dropdown_reducer,3.4.5,
58642608,18896,T1,dropdown_reducer,3.4.5,
58642608,18896,T7,dropdown_reducer,3.4.5,
58642608,18896,T13,dropdown_reducer,3.4.5,
58642608,18896,T19,dropdown_reducer,3.4.5,
58642608,18896,T25,dropdown_reducer,3.4.5,
58642608,18896,T31,dropdown_reducer,3.4.5,
58642608,18896,T37,dropdown_reducer,3.4.5,
58642608,18896,T43,dropdown_reducer,3.4.5,
58642608,18896,T49,dropdown_reducer,3.4.5,
58642608,18896,T55,dropdown_reducer,3.4.5,
58642608,18896,T61,dropdown_reducer,3.4.5,
58642608,18896,T67,dropdown_reducer,3.4.5,
58642608,18896,T73,dropdown_reducer,3.4.5,
58642608,18896,T79,dropdown_reducer,3.4.5,
58642609,18896,T1,dropdown_reducer,3.4.5,
58642609,18896,T7,dropdown_reducer,3.4.5,
58642609,18896,T13,dropdown_reducer,3.4.5,
58642609,18896,T19,dropdown_reducer,3.4.5,
58642609,18896,T25,dropdown_reducer,3.4.5,
58642609,18896,T31,dropdown_reducer,3.4.5,
58642609,18896,T37,dropdown_reducer,3.4.5,
58642609,18896,T43,dropdown_reducer,3.4.5,
58642609,18896,T49,dropdown_reducer,3.4.5,
58642609,18896,T55,dropdown_reducer,3.4.5,
58642609,18896,T61,dropdown_reducer,3.4.5,
58642609,18896,T67,dropdown_reducer,3.4.5,
58642609,18896,T73,dropdown_reducer,3.4.5,
58642609,18896,T79,dropdown_reducer,3.4.5,
58642610,18896,T1,dropdown_reducer,3.4.5,
58642610,18896,T7,dropdown_reducer,3.4.5,
58642610,18896,T13,dropdown_reducer,3.4.5,
58642610,18896,T19,dropdown_reducer,3.4.5,
58642610,18896,T25,dropdown_reducer,3.4.5,
58642610,18896,T31,dropdown_reducer,3.4.5,
58642610,18896,T37,dropdown_reducer,3.4.5,
58642610,18896,T43,dropdown_reducer,3.4.5,
58642610,18896,T49,dropdown_reducer,3.4.5,
58642610,18896,T55,dropdown_reducer,3.4.5,
58642610,18896,T61,dropdown_reducer,3.4.5,
58642610,18896,T67,dropdown_reducer,3.4.5,
58642610,18896,T73,dropdown_reducer,3.4.5,
58642610,18896,T79,dropdown_reducer,3.4.5,
58642611,18896,T1,dropdown_reducer,3.4.5,[{'2ff4544f62747': 4}]
58642611,18896,T7,dropdown_reducer,3.4.5,
58642611,18896,T13,dropdown_reducer,3.4.5,
58642611,18896,T19,dropdown_reducer,3.4.5,
58642611,18896,T25,dropdown_reducer,3.4.5,
58642611,18896,T31,dropdown_reducer,3.4.5,
58642611,18896,T37,dropdown_reducer,3.4.5,
58642611,18896,T43,dropdown_reducer,3.4.5,
58642611,18896,T49,dropdown_reducer,3.4.5,
58642611,18896,T55,dropdown_reducer,3.4.5,
58642611,18896,T61,dropdown_reducer,3.4.5,
58642611,18896,T67,dropdown_reducer,3.4.5,
58642611,18896,T73,dropdown_reducer,3.4.5,
58642611,18896,T79,dropdown_reducer,3.4.5,
58642612,18896,T1,dropdown_reducer,3.4.5,
58642612,18896,T7,dropdown_reducer,3.4.5,
58642612,18896,T13,dropdown_reducer,3.4.5,
58642612,18896,T19,dropdown_reducer,3.4.5,
58642612,18896,T25,dropdown_reducer,3.4.5,
58642612,18896,T31,dropdown_reducer,3.4.5,
58642612,18896,T37,dropdown_reducer,3.4.5,
58642612,18896,T43,dropdown_reducer,3.4.5,
58642612,18896,T49,dropdown_reducer,3.4.5,
58642612,18896,T55,dropdown_reducer,3.4.5,
58642612,18896,T61,dropdown_reducer,3.4.5,
58642612,18896,T67,dropdown_reducer,3.4.5,
58642612,18896,T73,dropdown_reducer,3.4.5,
58642612,18896,T79,dropdown_reducer,3.4.5,
58642613,18896,T1,dropdown_reducer,3.4.5,
58642613,18896,T7,dropdown_reducer,3.4.5,
58642613,18896,T13,dropdown_reducer,3.4.5,
58642613,18896,T19,dropdown_reducer,3.4.5,
58642613,18896,T25,dropdown_reducer,3.4.5,
58642613,18896,T31,dropdown_reducer,3.4.5,
58642613,18896,T37,dropdown_reducer,3.4.5,
58642613,18896,T43,dropdown_reducer,3.4.5,
58642613,18896,T49,dropdown_reducer,3.4.5,
58642613,18896,T55,dropdown_reducer,3.4.5,
58642613,18896,T61,dropdown_reducer,3.4.5,
58642613,18896,T67,dropdown_reducer,3.4.5,
58642613,18896,T73,dropdown_reducer,3.4.5,
58642613,18896,T79,dropdown_reducer,3.4.5,
58642614,18896,T1,dropdown_reducer,3.4.5,[{'f0f2d281e7e4': 4}]
