subject_id,task,date,review,date2,review2,date3,review3,date4,review4,date_new,column_name,url_front,url_back
82937326,T3,November,1,NA,NA,NA,NA,NA,NA,NA,end_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0004_2.jpeg
82937326,T4,3,1,NA,NA,NA,NA,NA,NA,NA,end_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0004_2.jpeg
82937331,T5,1980,1,198,1,1983,1,NA,NA,1980,end_date_year,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Lapeer_NepessingLake_GROW_030.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Lapeer_NepessingLake_GROW_031.jpg
82937334,T0,June,1,NA,NA,NA,NA,NA,NA,June,begin_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Manistee_Bear_GROW_101.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Manistee_Bear_GROW_102.jpg
82937334,T1,7,1,NA,NA,NA,NA,NA,NA,7,begin_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Manistee_Bear_GROW_101.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Manistee_Bear_GROW_102.jpg
82937334,T3,June,1,NA,NA,NA,NA,NA,NA,July,end_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Manistee_Bear_GROW_101.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Manistee_Bear_GROW_102.jpg
82937334,T4,11,1,NA,NA,NA,NA,NA,NA,27,end_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Manistee_Bear_GROW_101.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Manistee_Bear_GROW_102.jpg
82937338,T5,Same as Begin Date Year,1,1988,1, None,1,NA,NA,1988,end_date_year,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/OAKLAND_BIGT4NR8ES2829_GROW_0011_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/OAKLAND_BIGT4NR8ES2829_GROW_0011_2.jpeg
82937338,T3,Same as Begin Date Month,1, June,1,NA,NA,NA,NA, June,end_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/OAKLAND_BIGT4NR8ES2829_GROW_0011_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/OAKLAND_BIGT4NR8ES2829_GROW_0011_2.jpeg
82939722,T0,May,1,NA,NA,NA,NA,NA,NA,May,begin_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_014.jpg,NA
