"subject_id","URL.4","URL.8","workflow_id","task","Full.Task.Text","data.value","original_id"
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T5","Intensity of Fishing – Summer","[{'v-light': 2, 'Light': 1}]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T6","Intensity of Fishing – Winter","[{'v-light': 2, 'Light': 1}]",82940949
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T5","Intensity of Fishing – Summer","[{'Light': 3}]",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T6","Intensity of Fishing – Winter","[{'0-light': 1, 'Light': 2}]",82940950
83381048,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_COOK_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_COOK_SUMM_0001_2.jpeg",18891,"T5","Intensity of Fishing – Summer","[{'Light': 3}]",82940951
83381048,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_COOK_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_COOK_SUMM_0001_2.jpeg",18891,"T6","Intensity of Fishing – Winter","[{'Light': 3}]",82940951
83381049,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEER_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEER_SUMM_0001_2.jpeg",18891,"T5","Intensity of Fishing – Summer","[{'Light': 3}]",82940952
83381049,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEER_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEER_SUMM_0001_2.jpeg",18891,"T6","Intensity of Fishing – Winter","[{'Light': 3}]",82940952
83381050,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEERFOOT_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEERFOOT_SUMM_0001_2.jpeg",18891,"T5","Intensity of Fishing – Summer","[{'moderate': 1, 'Medium': 2}]",82940953
83381050,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEERFOOT_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEERFOOT_SUMM_0001_2.jpeg",18891,"T6","Intensity of Fishing – Winter","[{'Light': 3}]",82940953
